,urlDrugName,rating,effectiveness,sideEffects,benefitsReview
0,enalapril,4,Highly Effective,Mild Side Effects,"slowed the progression of left ventricular dysfunction into overt heart failure 
alone or with other agents in the managment of hypertension 
mangagement of congestive heart failur"
1,ortho-tri-cyclen,1,Highly Effective,Severe Side Effects,"Although this type of birth control has more cons than pros, it did help with my cramps. It's also effective with the prevention of pregnancy. (Along with use of condoms as well)"
2,ponstel,10,Highly Effective,No Side Effects,"I was used to having cramps so badly that they would leave me balled up in bed for at least 2 days.  The Ponstel doesn't take the pain away completely, but takes the edge off so much that normal activities were possible. Definitely a miracle medication!!"
3,prilosec,3,Marginally Effective,Mild Side Effects,"The acid reflux went away for a few months after just a few days of being on the drug. The heartburn started again as soon as I stopped taking it. So I began treatment again. 6 months passed and I stopped taking it. The heartburn came back, and seemed worse even. The doctor said I should try another 6 month treatment. I did, and the same exact thing happened. This went on for about three years. I asked why this wasn't curing my reflux. The doctor quite frankly told me that it wasn't a cure, but a ""treatment for the symptoms"". I was told that I would probably be on it for the rest of my life."
4,lyrica,2,Marginally Effective,Severe Side Effects,"I think that the Lyrica was starting to help with the pain, but the side-effects were just too severe to continue."
5,propecia,1,Ineffective,Severe Side Effects,"after taking propecia for over a year, starting when i was 20 years of age my hair continued to thin, and i noticed no significant benefits"
6,vyvanse,9,Highly Effective,Mild Side Effects,"My mood has noticably improved, I have more energy, experience better sleep and digestion."
7,elavil,10,Considerably Effective,No Side Effects,"Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage."
8,xanax,10,Highly Effective,No Side Effects,"This simply just works fast and without any of the nasty side effects of SSRI medicines. I won't go into a long story of my panic attacks which I sought help for many years after the fact. This just works and it does what it's supposed to without any annoying side effects. When taken daily, it has stopped my panic attacks from starting and thinking patterns that lead to them. I find it can also be used as needed along with the daily treatment."
9,claritin,1,Ineffective,Extremely Severe Side Effects,"none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen."
10,flagyl,7,Considerably Effective,Moderate Side Effects,I experienced complete clearing of the Vaginosis after the regimin was completed.
11,dextroamphetamine,8,Highly Effective,Moderate Side Effects,"Smoother more gradual onset and effect than Adderall. Effective at controlling ADD symptoms previously controlled by Adderall however this drug seems more natural and transparent. Less tension and anxiety. Less ""druggy"" unnatural feelings and thoughts."
12,sarafem,8,Considerably Effective,Mild Side Effects,I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles.
13,latisse,9,Considerably Effective,Mild Side Effects,"For the first time in my life I had enough lashes to apply mascara to.  I had tried eyelash extensions which only broke off or pulled out what few thin lashes I did have.  Strip lashes were itchy and uncomfortable.  I now have normal lashes.
Even though I only applied it to upper lashes the lower lashes have grown longer and thicker too."
14,aldara,4,Considerably Effective,Severe Side Effects,Aldara did seem to crust up my previous skin cancer area and help minimize my scar from MOHS surgery for skin cancer. Due to the side effects I could only tolerate for one week opposed to 6 week regiman.
15,effexor-xr,8,Highly Effective,No Side Effects,"reduction in anxiety, no panic attacks.  drug is extremely effective"
16,neurontin,6,Moderately Effective,No Side Effects,"I'm taking Gabapentin to treat nerve disorder. My nerves are inflamed and causes to experience pelvic pain and other pelvic disorders. The Gabapentin sometimes works but I do experience relapse.

For the migraines
I find that the 800mg of Ibprofen works better with no side effect for my migraines, but the maxalt has a better track record."
17,omnicef,1,Marginally Effective,Severe Side Effects,don't know yet back to pediatrician today
18,klonopin,8,Considerably Effective,Mild Side Effects,Very good at relieving anxiety.  Good at generally calming me down and 'leveling me out' to make functioning easier.  Helps a little to relax muscle tension.  Calming effect makes an excellent sleep aid.
19,dovonex,6,Moderately Effective,No Side Effects,"Controlled the psoriasis, however did not reduce its presence."
20,protopic,8,Highly Effective,Moderate Side Effects,cure the ezcema and it took aout teh roughest of the skin
21,effexor,9,Considerably Effective,Mild Side Effects,reduction of panic attacks and depression to almost nil
22,sotret,10,Highly Effective,Moderate Side Effects,"I took isotretinoin for persistent adult acne.  My skin was not by any means awful, but I did have evident pimples on my forehead and chin, and awful, awful blackheads on my nose that despite daily steaming and extraction, were terrible.  The drug totally cleared up my face, and my blackhead literally dried up in front of my eyes.  My once horribly oily skin changed to almost normal."
23,retin-a-micro,8,Moderately Effective,Moderate Side Effects,"The treatment benefits included Skin Regeneration, and decreased Acne.  My skin felt more smooth and the pigmentation was disapearing.  Overall, the goals were accomplished however the redness of the skin took over."
24,lamotrigine,9,Considerably Effective,Mild Side Effects,fits settled down to maybe 1 a fortnight which were daily before this medication
25,rebif,6,Considerably Effective,Moderate Side Effects,Reduce number of MS relapses
26,symbicort,10,Highly Effective,No Side Effects,"I had taken Pulmicort, and other inhalants, with no major changes.  It became more difficult to maintain my exercise and lively life style. I gave in and began Symbicort and immediately experienced a relief of shortness of breath, weezing.  I feel like a new person. I still have a reaction to cold wind, and very high humidity, but so much better.  I rarely use my Albuterol."
27,lamictal,8,Considerably Effective,Mild Side Effects,I'm feeling more grounded; highs and lows are less extreme.  You could say that my emotional 'playing field' is more level.
28,lyrica,1,Marginally Effective,Severe Side Effects,"It seemed to work at first, but then the side effects started. Fatigue, severe memory loss, poor decisions, urinary incontinence, personality changes (crabby, irritable, withdrawn). The hard part is I can't seem to get off this stuff!! The withdrawals are horrible, shakiness, feelings of doom, loss of appetite, nausea, palpitations. It scares me so much that I just start taking it again. I'm stuck!! Don't ever start this stuff, there is something wrong with it. I don't know if I will ever be myself again."
29,doxycycline,8,Considerably Effective,Mild Side Effects,decrease in acne pustules
30,vyvanse,8,Considerably Effective,Mild Side Effects,"Alert, awake, focused"
31,actonel,7,Marginally Effective,Mild Side Effects,My  bone density's results have always been stable and I was told to continue with the drug.
32,provigil,7,Moderately Effective,Mild Side Effects,"I was more alert during the first part of the day but I found that it wore off by the afternoon. I could focus clearly, and if I needed a boost during the day another dose was enough."
33,ambien,8,Considerably Effective,Mild Side Effects,Sleeping 7-8 hours without hangover
34,wellbutrin,10,Highly Effective,Mild Side Effects,"I have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  I no longer feel like I am looking out of a dark room.  I have more energy, feel more motivated, and overall function at a higher level than before."
35,propecia,8,Moderately Effective,Mild Side Effects,"Ostensibly this will halt or even reverse the effects of male-pattern baldness. So far, one month in, there is not a great deal to report. I expected my hair loss to temporarily increase, as I had read in the literature that as dormant hair follicles reactivate, they push dead hairs out in order to form new ones. In other word, hair in a dead follicle will linger for a few months, and reactivation of the follicle will push out the old hair to make room for the new. So far, this has not occurred. The product must be taken for up to two years for any noticeable hair growth to take place, so I really haven't been on it long enough to judge its re-growth potential. In terms of halting the process, however, I must say there are fewer hairs in my brush each morning, so it's possible the drug is having an effect already. I will post a fuller report in another forty-seven months, I suppose."
