term,idx,tf,df
take,40887,838,640
day,9424,648,472
pain,29826,617,410
help,19217,515,424
drug,11861,499,407
get,17411,461,373
time,42362,451,365
effect,12683,440,376
go,17798,419,339
work,46210,402,338
also,1925,398,350
sleep,37608,393,285
medication,25453,385,293
use,44188,374,299
year,46902,371,291
feel,15406,369,287
skin,37409,364,251
treatment,43122,361,318
benefit,4664,355,327
well,45521,352,316
reduce,34010,352,306
able,304,339,282
would,46558,329,253
week,45254,327,276
start,38921,312,262
good,18034,302,262
symptom,40550,295,236
side,37013,292,260
much,27177,290,243
month,26682,287,246
depression,10204,287,226
less,23017,273,229
stop,39434,268,239
side effect,37025,257,230
make,24860,257,226
acne,680,254,194
anxiety,2612,243,194
first,16141,242,219
felt,15696,234,186
life,23448,232,196
without,46003,231,206
clear,6870,226,203
like,23668,222,196
within,45955,220,198
one,29152,220,194
night,28095,219,177
still,39214,215,190
increase,20951,210,181
effective,12944,207,183
control,8230,198,175
back,3866,196,170
could,8551,190,164
experience,14588,187,167
decrease,9807,184,158
blood,5211,182,139
seem,36253,180,154
mood,26851,170,152
improve,20666,166,145
severe,36637,160,148
even,14061,159,149
low,24538,154,137
normal,28359,153,138
long,24136,152,145
two,43660,152,134
level,23270,152,132
headache,18917,152,103
try,43444,149,132
hour,19915,147,122
infection,21185,147,120
hair,18534,144,75
problem,32368,142,122
pressure,32007,142,103
think,41908,140,127
migraine,26109,136,84
become,4295,135,125
doctor,11276,134,120
need,27678,132,121
notice,28620,132,116
energy,13557,131,121
really,33656,129,114
bad,4023,129,113
daily,9243,124,114
period,30768,124,106
pill,31082,124,96
completely,7555,122,115
keep,22221,122,115
find,15982,122,111
weight,45455,122,99
almost,1739,121,114
give,17650,121,112
none,28269,119,117
result,35246,119,110
reduction,34239,119,107
dose,11501,119,99
patient,30447,119,90
cause,6177,118,105
away,3732,117,108
high,19548,116,104
relief,34673,115,100
due,12228,114,107
begin,4466,113,98
blood pressure,5229,111,79
however,20021,110,104
feeling,15597,110,99
thing,41836,110,92
prescribe,31828,109,99
every,14253,107,101
since,37173,106,105
change,6395,106,101
little,23982,104,99
loss,24400,103,90
come,7334,101,94
never,27901,101,91
relieve,34763,98,92
great,18291,96,94
continue,8131,96,91
attack,3479,92,74
medicine,25670,92,72
eliminate,13244,91,81
allow,1679,90,81
easy,12493,89,83
lose,24354,88,81
eye,14887,88,69
focus,16479,87,82
last,22656,86,82
know,22445,86,79
dosage,11436,86,77
treat,43048,86,77
suffer,39994,84,75
wake,44934,84,74
mild,26201,82,79
improvement,20766,82,76
look,24272,82,70
say,35912,81,75
overall,29662,80,80
see,36191,80,77
mg,26001,80,56
condition,7774,78,68
hot,19902,78,62
lower,24618,77,70
many,25109,77,68
function,17088,77,68
allergy,1584,77,62
treatment benefit,43141,76,76
morning,26956,76,72
face,14989,76,66
acid,644,75,54
tell,41408,73,70
take medication,41087,73,67
eat,12558,73,60
prevent,32141,71,70
around,3170,71,66
several,36613,70,69
go away,17817,70,66
panic,30204,70,54
cholesterol,6650,70,47
quickly,33166,69,68
longer,24212,69,64
want,45025,67,60
heart,19122,67,57
flash,16295,67,56
significantly,37086,66,65
return,35414,66,60
dry,12156,66,59
asleep,3293,66,53
cold,7177,66,47
though,42060,65,63
fall,15157,65,60
hot flash,19904,65,55
product,32535,65,53
although,2165,64,62
three,42166,63,59
per,30687,63,56
take drug,40985,61,61
immediately,20526,61,57
stress,39653,61,57
muscle,27357,61,53
calm,5829,60,58
difference,10711,60,57
anti,2503,60,56
area,3087,60,53
usually,44460,59,55
ability,264,59,51
activity,886,58,52
stomach,39374,58,47
reflux,34340,58,45
sore,38444,57,38
disappear,10931,56,55
happy,18773,56,54
med,25382,56,47
bed,4401,56,46
food,16603,56,46
line,23868,56,44
body,5282,55,53
another,2451,55,52
thought,42116,55,48
new,27968,55,47
etc,13999,54,51
believe,4578,54,51
small,37960,54,51
minute,26416,54,50
panic attack,30208,53,43
smoke,38018,53,32
enough,13678,52,51
put,33065,52,49
joint,22155,52,45
leg,22948,52,38
complete,7516,51,49
people,30639,51,48
sometimes,38317,51,48
lessen,23181,51,47
nothing,28568,51,46
inflammation,21315,51,43
wrinkle,46766,51,42
general,17303,50,48
cream,8877,50,39
actually,936,49,49
far,15223,49,47
cure,9042,49,42
bone,5336,49,36
include,20895,48,47
anything,2808,48,46
cough,8510,48,43
gain,17208,48,43
sinus,37269,48,41
greatly,18367,47,46
amount,2328,47,46
alleviate,1638,47,45
next,28028,47,45
stop take,39570,47,43
may,25263,47,43
full,17040,46,43
heal,19023,46,40
surgery,40298,46,39
extremely,14848,45,44
